League,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
2013-2014 NBA Orlando Pro Summer League Stats,Toure' Murry,HOU,1,11.0,5,2,5,.400,0,0,.000,1,2,.500,0,0,0,0,0,0,1,1
2013-2014 NBA Orlando Pro Summer League Stats,Amath M'Baye,UTA,2,27.2,5,1,7,.143,0,2,.000,3,3,1.000,2,1,3,1,0,0,2,3
2013-2014 NBA Orlando Pro Summer League Stats,Rick Jackson,IND,1,13.7,4,2,2,1.000,0,0,.000,0,0,.000,1,4,5,0,0,3,1,3
2013-2014 NBA Orlando Pro Summer League Stats,Nolan Smith,BOS,1,5.0,4,2,3,.667,0,0,.000,0,0,.000,0,0,0,0,1,0,1,0
2013-2014 NBA Orlando Pro Summer League Stats,Jamelle Hagins,BRK,4,40.5,4,2,6,.333,0,0,.000,0,0,.000,3,5,8,0,0,2,3,8
2013-2014 NBA Orlando Pro Summer League Stats,Ryan Reid,OKC,3,37.2,4,2,5,.400,0,0,.000,0,0,.000,1,5,6,3,0,0,4,7
2013-2014 NBA Orlando Pro Summer League Stats,Rick Jackson,IND,1,13.9,4,2,7,.286,0,0,.000,0,0,.000,0,1,1,0,1,0,0,0
2013-2014 NBA Orlando Pro Summer League Stats,JaJuan Johnson,DET,2,18.4,4,0,5,.000,0,0,.000,4,4,1.000,2,2,4,0,0,1,2,3
2013-2014 NBA Orlando Pro Summer League Stats,Dewayne Dedmon,MIA,3,35.5,4,2,7,.286,0,0,.000,0,0,.000,2,4,6,1,1,2,4,9
2013-2014 NBA Orlando Pro Summer League Stats,Lawrence Hill,BOS,1,17.7,2,1,5,.200,0,4,.000,0,0,.000,2,5,7,1,3,1,1,2
2013-2014 NBA Orlando Pro Summer League Stats,Zeke Marshall,PHI,2,22.7,2,1,7,.143,0,0,.000,0,1,.000,3,3,6,0,0,4,2,4
2013-2014 NBA Orlando Pro Summer League Stats,Rodney Green,HOU,2,10.8,2,0,1,.000,0,0,.000,2,4,.500,0,1,1,1,2,0,1,2
2013-2014 NBA Orlando Pro Summer League Stats,Keith Clanton,ORL,2,10.1,2,1,1,1.000,0,0,.000,0,0,.000,0,0,0,1,1,0,1,2
2013-2014 NBA Orlando Pro Summer League Stats,Tim Ohlbrecht,HOU,2,17.5,2,0,3,.000,0,0,.000,2,2,1.000,0,3,3,0,1,0,0,4
2013-2014 NBA Orlando Pro Summer League Stats,Angelo Sharpless,IND,1,12.7,2,0,2,.000,0,2,.000,2,2,1.000,0,0,0,0,1,1,1,3
2013-2014 NBA Orlando Pro Summer League Stats,Jeff Brooks,HOU,1,14.8,2,1,5,.200,0,0,.000,0,0,.000,1,1,2,0,0,0,1,2
2013-2014 NBA Orlando Pro Summer League Stats,Drew Gordon,UTA,1,12.0,1,0,3,.000,0,3,.000,1,2,.500,0,3,3,2,0,0,1,0
2014-2015 NBA Orlando Pro Summer League Stats,Kentavious Caldwell-Pope,DET,5,150.8,120,38,94,.404,12,36,.333,32,40,.800,4,33,37,8,9,1,14,21
2014-2015 NBA Orlando Pro Summer League Stats,Casper Ware,PHI,5,154.9,95,33,77,.429,14,38,.368,15,17,.882,0,16,16,26,7,0,21,16
2014-2015 NBA Orlando Pro Summer League Stats,Nick Johnson,HOU,5,146.6,79,29,65,.446,7,24,.292,14,16,.875,16,15,31,25,4,4,15,16
2014-2015 NBA Orlando Pro Summer League Stats,Donald Sloan,IND,4,109.7,74,25,52,.481,7,13,.538,17,21,.810,1,13,14,22,2,0,12,7
2014-2015 NBA Orlando Pro Summer League Stats,Jordan Adams,MEM,5,129.4,74,23,56,.411,7,18,.389,21,22,.955,4,13,17,12,11,2,11,11
2014-2015 NBA Orlando Pro Summer League Stats,Marcus Smart,BOS,5,145.9,74,20,68,.294,9,35,.257,25,30,.833,5,16,21,21,10,2,9,18
2014-2015 NBA Orlando Pro Summer League Stats,Kelly Olynyk,BOS,4,130.2,70,26,65,.400,5,18,.278,13,17,.765,9,20,29,8,8,0,9,19
2014-2015 NBA Orlando Pro Summer League Stats,Mike Moser,BOS,5,130.7,68,23,51,.451,11,26,.423,11,15,.733,4,20,24,10,10,5,9,15
2014-2015 NBA Orlando Pro Summer League Stats,James Ennis,MIA,4,100.4,68,22,42,.524,11,21,.524,13,18,.722,4,19,23,7,5,2,7,10
2014-2015 NBA Orlando Pro Summer League Stats,Justin Hamilton,MIA,5,125.5,68,23,55,.418,4,14,.286,18,18,1.000,12,22,34,4,2,1,3,6
2014-2015 NBA Orlando Pro Summer League Stats,Kevin Jones,IND,5,127.9,64,27,55,.491,1,2,.500,9,11,.818,19,31,50,7,3,3,9,12
2014-2015 NBA Orlando Pro Summer League Stats,Jarnell Stokes,MEM,5,133.5,61,22,49,.449,0,1,.000,17,21,.810,18,29,47,5,4,2,9,12
2014-2015 NBA Orlando Pro Summer League Stats,Mitch McGary,OKC,4,103.6,59,24,48,.500,0,2,.000,11,15,.733,8,15,23,5,3,7,8,8
2014-2015 NBA Orlando Pro Summer League Stats,Cory Jefferson,BRK,5,106.8,56,21,30,.700,0,1,.000,14,16,.875,12,22,34,1,7,8,5,19
2014-2015 NBA Orlando Pro Summer League Stats,Mason Plumlee,BRK,3,70.2,54,18,24,.750,0,0,.000,18,28,.643,5,9,14,5,5,2,5,11
2014-2015 NBA Orlando Pro Summer League Stats,DeAndre Liggins,DET,5,144.4,53,14,28,.500,7,14,.500,18,22,.818,4,19,23,20,9,1,12,18
2014-2015 NBA Orlando Pro Summer League Stats,Phil Pressey,BOS,5,137.0,53,19,59,.322,4,20,.200,11,15,.733,2,17,19,27,11,0,18,10
2014-2015 NBA Orlando Pro Summer League Stats,Frank Gaines,IND,5,113.1,53,17,45,.378,5,16,.313,14,18,.778,1,3,4,4,4,1,6,11
2014-2015 NBA Orlando Pro Summer League Stats,Hollis Thompson,PHI,4,112.0,52,18,50,.360,8,27,.296,8,9,.889,11,21,32,13,5,2,7,10
2014-2015 NBA Orlando Pro Summer League Stats,Jeremy Lamb,OKC,3,94.2,52,16,50,.320,4,23,.174,16,20,.800,4,12,16,5,4,2,8,5
2014-2015 NBA Orlando Pro Summer League Stats,DaJuan Summers,BRK,5,102.5,52,18,49,.367,4,18,.222,12,13,.923,4,16,20,3,3,1,14,11
2014-2015 NBA Orlando Pro Summer League Stats,Ronald Roberts,PHI,5,117.1,51,21,32,.656,0,1,.000,9,13,.692,16,21,37,5,3,3,9,10
2014-2015 NBA Orlando Pro Summer League Stats,Chris Crawford,HOU,5,121.9,51,19,49,.388,7,30,.233,6,7,.857,2,24,26,14,6,1,10,4
2014-2015 NBA Orlando Pro Summer League Stats,Tyler Johnson,MIA,4,82.9,51,17,28,.607,3,9,.333,14,19,.737,6,3,9,3,4,3,1,10
2014-2015 NBA Orlando Pro Summer League Stats,Justin Harper,DET,4,88.1,51,20,33,.606,7,12,.583,4,6,.667,5,13,18,3,2,1,6,11
2014-2015 NBA Orlando Pro Summer League Stats,Victor Oladipo,ORL,3,80.9,51,17,40,.425,5,14,.357,12,16,.750,1,17,18,8,1,1,7,11
2014-2015 NBA Orlando Pro Summer League Stats,Jamaal Franklin,MEM,5,120.6,51,14,48,.292,5,20,.250,18,24,.750,3,16,19,7,7,2,7,14
2014-2015 NBA Orlando Pro Summer League Stats,Markel Brown,BRK,5,129.7,50,18,34,.529,6,16,.375,8,10,.800,6,15,21,16,3,0,17,15
2014-2015 NBA Orlando Pro Summer League Stats,Tarik Black,HOU,5,100.3,50,15,25,.600,0,0,.000,20,24,.833,13,17,30,1,3,5,15,20
2014-2015 NBA Orlando Pro Summer League Stats,Marquis Teague,BRK,5,92.8,49,15,33,.455,0,1,.000,19,21,.905,1,7,8,29,6,0,18,13
2014-2015 NBA Orlando Pro Summer League Stats,Perry Jones,OKC,4,108.5,49,17,38,.447,9,19,.474,6,9,.667,3,18,21,2,3,4,9,6
2014-2015 NBA Orlando Pro Summer League Stats,Seth Curry,ORL,5,107.6,49,18,41,.439,11,26,.423,2,4,.500,0,3,3,6,2,0,3,6
2014-2015 NBA Orlando Pro Summer League Stats,Andre Dawkins,MIA,4,76.7,49,16,40,.400,12,30,.400,5,5,1.000,1,1,2,5,3,0,5,3
2014-2015 NBA Orlando Pro Summer League Stats,Tyler Honeycutt,MIA,5,96.1,48,16,36,.444,4,12,.333,12,13,.923,10,11,21,6,6,2,5,19
2014-2015 NBA Orlando Pro Summer League Stats,DeQuan Jones,IND,5,119.6,48,14,27,.519,1,2,.500,19,27,.704,0,13,13,8,3,5,8,9
2014-2015 NBA Orlando Pro Summer League Stats,Devyn Marble,ORL,5,103.2,47,16,43,.372,5,16,.313,10,14,.714,5,26,31,6,6,0,3,10
2014-2015 NBA Orlando Pro Summer League Stats,Donte Greene,BRK,5,96.5,47,14,42,.333,5,17,.294,14,14,1.000,3,15,18,14,5,3,12,11
2014-2015 NBA Orlando Pro Summer League Stats,Travis Bader,PHI,5,128.7,47,16,39,.410,11,28,.393,4,4,1.000,2,5,7,7,3,0,3,18
2014-2015 NBA Orlando Pro Summer League Stats,Jabari Brown,HOU,5,101.4,47,16,45,.356,4,22,.182,11,18,.611,1,7,8,5,1,0,17,13
2014-2015 NBA Orlando Pro Summer League Stats,Elfrid Payton,ORL,5,128.8,46,16,27,.593,1,2,.500,13,20,.650,7,19,26,35,7,3,20,8
2014-2015 NBA Orlando Pro Summer League Stats,Willie Reed,IND,5,99.5,46,18,30,.600,0,0,.000,10,18,.556,10,18,28,5,3,14,6,13
2014-2015 NBA Orlando Pro Summer League Stats,Shabazz Napier,MIA,5,138.2,46,15,55,.273,4,26,.154,12,15,.800,6,9,15,23,9,0,24,12
2014-2015 NBA Orlando Pro Summer League Stats,James Nunnally,IND,4,91.9,45,12,30,.400,5,18,.278,16,16,1.000,3,13,16,7,6,1,5,6
2014-2015 NBA Orlando Pro Summer League Stats,Semaj Christon,OKC,4,104.8,45,16,33,.485,3,8,.375,10,15,.667,2,7,9,11,5,0,9,13
2014-2015 NBA Orlando Pro Summer League Stats,Jahii Carson,HOU,5,108.2,42,14,36,.389,2,4,.500,12,20,.600,0,7,7,8,9,0,11,8
2014-2015 NBA Orlando Pro Summer League Stats,Nerlens Noel,PHI,3,75.6,41,13,25,.520,0,0,.000,15,19,.789,4,13,17,5,7,9,9,7
2014-2015 NBA Orlando Pro Summer League Stats,JaKarr Sampson,PHI,5,96.8,41,14,28,.500,1,6,.167,12,28,.429,5,19,24,3,6,3,8,10
2014-2015 NBA Orlando Pro Summer League Stats,Okaro White,MEM,5,80.5,41,9,25,.360,2,8,.250,21,25,.840,4,9,13,4,3,1,7,15
2014-2015 NBA Orlando Pro Summer League Stats,K.J. McDaniels,PHI,4,69.8,40,13,29,.448,5,9,.556,9,11,.818,6,4,10,3,1,4,7,11
2014-2015 NBA Orlando Pro Summer League Stats,Mario Little,OKC,4,75.8,40,10,28,.357,6,17,.353,14,14,1.000,0,9,9,12,5,0,13,14
2014-2015 NBA Orlando Pro Summer League Stats,Ian Miller,DET,4,79.6,39,13,27,.481,3,7,.429,10,11,.909,3,4,7,12,1,0,9,6
2014-2015 NBA Orlando Pro Summer League Stats,Jack Cooley,MEM,4,90.2,39,15,26,.577,3,5,.600,6,11,.545,10,9,19,0,2,1,8,18
2014-2015 NBA Orlando Pro Summer League Stats,Aaron Gordon,ORL,5,131.9,39,14,40,.350,0,10,.000,11,23,.478,5,20,25,6,0,2,7,11
2014-2015 NBA Orlando Pro Summer League Stats,Andre Roberson,OKC,4,115.6,38,14,29,.483,2,6,.333,8,25,.320,11,22,33,8,9,3,10,16
2014-2015 NBA Orlando Pro Summer League Stats,Maarty Leunen,HOU,4,94.7,38,12,33,.364,10,25,.400,4,5,.800,3,9,12,7,5,0,7,14
2014-2015 NBA Orlando Pro Summer League Stats,Kadeem Batts,ORL,4,78.6,37,17,31,.548,0,0,.000,3,5,.600,8,13,21,2,1,1,9,13
2014-2015 NBA Orlando Pro Summer League Stats,Brian Cook,DET,4,85.4,37,14,36,.389,8,22,.364,1,3,.333,4,16,20,3,2,1,10,12
2014-2015 NBA Orlando Pro Summer League Stats,Jerami Grant,PHI,5,97.5,36,13,27,.481,3,7,.429,7,13,.538,7,8,15,1,1,6,5,15
2014-2015 NBA Orlando Pro Summer League Stats,Jermaine Marshall,HOU,4,72.6,36,11,27,.407,6,19,.316,8,10,.800,0,2,2,1,5,0,8,8
2014-2015 NBA Orlando Pro Summer League Stats,Michael Jenkins,BRK,5,78.6,34,12,26,.462,4,13,.308,6,7,.857,4,5,9,6,3,0,7,10
2014-2015 NBA Orlando Pro Summer League Stats,Kalin Lucas,MEM,4,62.2,33,12,25,.480,2,6,.333,7,8,.875,4,6,10,7,2,0,5,2
2014-2015 NBA Orlando Pro Summer League Stats,Miro Bilan,HOU,4,66.4,33,15,27,.556,0,1,.000,3,4,.750,6,10,16,7,3,0,8,14
2014-2015 NBA Orlando Pro Summer League Stats,Chris Johnson,BOS,5,119.4,33,11,36,.306,3,16,.188,8,11,.727,5,16,21,5,2,3,3,15
2014-2015 NBA Orlando Pro Summer League Stats,Deon Thompson,MEM,5,94.7,33,15,36,.417,0,2,.000,3,7,.429,5,14,19,6,0,0,3,14
2014-2015 NBA Orlando Pro Summer League Stats,Arinze Onuaku,IND,4,76.6,32,13,19,.684,0,0,.000,6,11,.545,9,21,30,6,2,4,3,9
2014-2015 NBA Orlando Pro Summer League Stats,Tony Mitchell,DET,5,100.1,32,13,18,.722,0,0,.000,6,8,.750,11,8,19,4,3,5,4,18
2014-2015 NBA Orlando Pro Summer League Stats,Colton Iverson,BOS,5,79.2,32,13,20,.650,0,0,.000,6,9,.667,5,7,12,2,1,3,4,18
2014-2015 NBA Orlando Pro Summer League Stats,Josh Huestis,OKC,4,78.8,32,9,21,.429,1,8,.125,13,16,.813,5,4,9,4,1,2,6,7
2014-2015 NBA Orlando Pro Summer League Stats,Peyton Siva,DET,3,68.7,30,10,23,.435,1,7,.143,9,11,.818,1,6,7,15,3,0,5,6
2014-2015 NBA Orlando Pro Summer League Stats,Dee Bost,IND,5,103.1,29,10,26,.385,3,14,.214,6,8,.750,1,11,12,11,6,0,11,13
2014-2015 NBA Orlando Pro Summer League Stats,Steven Adams,OKC,3,80.9,29,9,15,.600,0,0,.000,11,23,.478,8,6,14,2,1,3,9,12
2014-2015 NBA Orlando Pro Summer League Stats,Dewayne Dedmon,ORL,3,62.5,28,8,15,.533,0,0,.000,12,18,.667,5,9,14,3,6,6,4,17
2014-2015 NBA Orlando Pro Summer League Stats,Vernon Macklin,ORL,5,78.4,27,7,16,.438,0,0,.000,13,15,.867,9,9,18,0,3,6,5,10
2014-2015 NBA Orlando Pro Summer League Stats,Adonis Thomas,BRK,3,53.5,27,9,25,.360,2,6,.333,7,8,.875,5,5,10,6,2,0,2,2
2014-2015 NBA Orlando Pro Summer League Stats,Edwin Jackson,BOS,4,48.5,27,7,21,.333,3,12,.250,10,10,1.000,2,3,5,4,1,0,4,3
2014-2015 NBA Orlando Pro Summer League Stats,Romero Osby,ORL,3,68.9,26,8,20,.400,1,3,.333,9,10,.900,3,3,6,0,5,2,3,10
2014-2015 NBA Orlando Pro Summer League Stats,Chris Babb,BOS,5,99.9,25,9,26,.346,3,16,.188,4,5,.800,4,6,10,8,2,0,3,10
2014-2015 NBA Orlando Pro Summer League Stats,Nolan Smith,OKC,5,65.2,23,7,12,.583,2,3,.667,7,8,.875,1,6,7,10,4,0,8,11
2014-2015 NBA Orlando Pro Summer League Stats,Cameron Jones,ORL,3,56.2,23,10,18,.556,2,5,.400,1,2,.500,0,4,4,5,1,0,3,9
2014-2015 NBA Orlando Pro Summer League Stats,Kim English,ORL,4,62.3,23,9,21,.429,4,12,.333,1,2,.500,2,5,7,2,3,1,8,7
2014-2015 NBA Orlando Pro Summer League Stats,Jarrid Famous,MEM,5,54.7,22,9,19,.474,0,0,.000,4,4,1.000,10,4,14,1,0,1,4,8
2014-2015 NBA Orlando Pro Summer League Stats,Joe Jackson,MEM,4,52.7,22,6,13,.462,0,2,.000,10,11,.909,3,4,7,2,3,0,5,6
2014-2015 NBA Orlando Pro Summer League Stats,Dairis Bertans,BOS,3,37.1,20,8,12,.667,3,7,.429,1,4,.250,4,1,5,3,0,0,1,2
2014-2015 NBA Orlando Pro Summer League Stats,Eli Holman,MIA,4,39.2,20,7,18,.389,0,0,.000,6,6,1.000,9,8,17,1,1,1,4,8
2014-2015 NBA Orlando Pro Summer League Stats,Jake Odum,IND,4,49.1,20,5,14,.357,3,7,.429,7,8,.875,1,4,5,5,2,0,6,10
2014-2015 NBA Orlando Pro Summer League Stats,Marcus Lewis,OKC,5,61.2,19,9,12,.750,0,0,.000,1,7,.143,1,5,6,8,6,0,6,16
2014-2015 NBA Orlando Pro Summer League Stats,Tim Ohlbrecht,DET,4,76.8,19,7,8,.875,0,0,.000,5,9,.556,6,10,16,1,0,0,6,12
2014-2015 NBA Orlando Pro Summer League Stats,Danilo Barthel,MIA,4,67.0,19,6,19,.316,1,11,.091,6,8,.750,4,14,18,4,2,4,8,15
2014-2015 NBA Orlando Pro Summer League Stats,Tyler Stone,IND,4,49.0,19,9,19,.474,0,0,.000,1,2,.500,4,7,11,3,0,0,2,10
2014-2015 NBA Orlando Pro Summer League Stats,Nick Minnerath,BRK,4,34.2,19,5,14,.357,5,7,.714,4,4,1.000,0,4,4,1,0,3,3,9
2014-2015 NBA Orlando Pro Summer League Stats,Xavier Thames,BRK,5,102.3,18,7,26,.269,1,6,.167,3,4,.750,2,5,7,12,10,0,7,12
2014-2015 NBA Orlando Pro Summer League Stats,Scottie Wilbekin,MEM,5,98.9,17,6,20,.300,1,7,.143,4,5,.800,0,6,6,24,11,1,5,2
2014-2015 NBA Orlando Pro Summer League Stats,Christian Watford,DET,2,33.0,17,5,14,.357,3,10,.300,4,7,.571,0,6,6,2,2,0,4,3
2014-2015 NBA Orlando Pro Summer League Stats,Trey McKinney Jones,MIA,3,52.0,15,6,11,.545,2,3,.667,1,2,.500,3,5,8,3,4,1,1,6
2014-2015 NBA Orlando Pro Summer League Stats,Ivan Aska,MIA,3,48.9,15,5,10,.500,0,1,.000,5,8,.625,2,6,8,0,3,2,6,5
2014-2015 NBA Orlando Pro Summer League Stats,O.D. Anosike,BOS,4,54.1,14,6,7,.857,0,0,.000,2,6,.333,8,11,19,0,4,2,2,7
2014-2015 NBA Orlando Pro Summer League Stats,Larry Drew,MIA,5,74.6,14,5,14,.357,0,4,.000,4,6,.667,0,7,7,19,8,0,11,11
2014-2015 NBA Orlando Pro Summer League Stats,Terrico White,MEM,4,53.5,14,6,11,.545,2,6,.333,0,0,.000,2,3,5,3,1,1,1,3
2014-2015 NBA Orlando Pro Summer League Stats,Jerrelle Benimon,MIA,4,49.8,13,4,10,.400,0,0,.000,5,7,.714,9,5,14,5,1,1,5,7
2014-2015 NBA Orlando Pro Summer League Stats,Akil Mitchell,HOU,4,78.2,13,6,11,.545,0,1,.000,1,3,.333,3,16,19,0,3,0,3,12
2014-2015 NBA Orlando Pro Summer League Stats,David Lighty,DET,4,71.9,12,3,13,.231,0,6,.000,6,10,.600,1,7,8,5,5,0,3,6
2014-2015 NBA Orlando Pro Summer League Stats,Damion James,DET,3,53.0,11,4,11,.364,0,0,.000,3,4,.750,3,7,10,0,2,1,4,1
2014-2015 NBA Orlando Pro Summer League Stats,Sadiel Rojas,IND,1,16.6,11,3,3,1.000,0,0,.000,5,9,.556,1,4,5,2,1,0,3,4
2014-2015 NBA Orlando Pro Summer League Stats,Sergey Karasev,BRK,1,33.6,11,4,9,.444,2,4,.500,1,2,.500,0,4,4,3,1,0,3,1
2014-2015 NBA Orlando Pro Summer League Stats,Talib Zanna,PHI,5,48.3,11,2,5,.400,0,0,.000,7,8,.875,2,6,8,2,2,1,5,9
2014-2015 NBA Orlando Pro Summer League Stats,Tristan Spurlock,DET,1,19.9,10,2,8,.250,2,5,.400,4,4,1.000,0,2,2,1,0,0,1,0
2014-2015 NBA Orlando Pro Summer League Stats,Langston Hall,MIA,3,41.7,10,4,9,.444,1,5,.200,1,2,.500,0,2,2,3,1,0,2,4
2014-2015 NBA Orlando Pro Summer League Stats,Michael Stockton,OKC,3,30.0,9,3,5,.600,1,2,.500,2,2,1.000,0,2,2,8,3,0,2,6
2014-2015 NBA Orlando Pro Summer League Stats,Edward Daniel,PHI,3,40.1,9,2,5,.400,0,1,.000,5,6,.833,2,6,8,1,0,3,3,3
2014-2015 NBA Orlando Pro Summer League Stats,Jackie Carmichael,IND,4,43.8,9,1,7,.143,0,0,.000,7,8,.875,4,5,9,2,1,1,7,12
2014-2015 NBA Orlando Pro Summer League Stats,Jorge Gutierrez,BRK,2,18.5,8,3,6,.500,0,0,.000,2,2,1.000,0,2,2,3,1,0,0,4
2014-2015 NBA Orlando Pro Summer League Stats,Kendrick Perry,ORL,1,13.7,8,3,3,1.000,0,0,.000,2,2,1.000,2,1,3,0,0,0,1,5
2014-2015 NBA Orlando Pro Summer League Stats,Chris Kramer,HOU,4,63.8,7,3,12,.250,0,4,.000,1,6,.167,4,5,9,15,6,0,6,10
2014-2015 NBA Orlando Pro Summer League Stats,Pierre Jackson,PHI,1,6.9,7,3,5,.600,1,2,.500,0,0,.000,0,0,0,0,1,0,0,1
2014-2015 NBA Orlando Pro Summer League Stats,Jordan Heath,DET,1,16.2,6,3,3,1.000,0,0,.000,0,0,.000,0,3,3,0,0,1,0,3
2014-2015 NBA Orlando Pro Summer League Stats,Aaron Craft,PHI,4,40.3,6,2,5,.400,0,1,.000,2,8,.250,0,3,3,5,4,0,7,6
2014-2015 NBA Orlando Pro Summer League Stats,Maurice Sutton,OKC,3,10.7,5,2,6,.333,0,0,.000,1,1,1.000,2,1,3,0,0,0,2,1
2014-2015 NBA Orlando Pro Summer League Stats,Augustine Rubit,HOU,1,10.5,4,2,3,.667,0,0,.000,0,3,.000,2,1,3,0,0,0,0,2
2014-2015 NBA Orlando Pro Summer League Stats,Ron Anderson,OKC,5,48.3,4,0,4,.000,0,0,.000,4,10,.400,9,5,14,3,1,0,6,13
2014-2015 NBA Orlando Pro Summer League Stats,John Roberson,BRK,2,11.7,4,1,2,.500,0,0,.000,2,2,1.000,0,0,0,1,0,0,1,2
2014-2015 NBA Orlando Pro Summer League Stats,Fuquan Edwin,OKC,3,22.4,4,2,8,.250,0,2,.000,0,0,.000,1,0,1,0,3,0,0,3
2014-2015 NBA Orlando Pro Summer League Stats,Chris Udofia,HOU,3,35.6,4,0,2,.000,0,0,.000,4,4,1.000,1,2,3,1,2,1,3,8
2014-2015 NBA Orlando Pro Summer League Stats,Kyle Casey,BRK,3,35.0,2,1,5,.200,0,2,.000,0,0,.000,0,6,6,1,2,5,3,3
2014-2015 NBA Orlando Pro Summer League Stats,Joshua Magette,ORL,2,17.8,2,1,3,.333,0,2,.000,0,0,.000,0,3,3,3,1,0,1,2
2014-2015 NBA Orlando Pro Summer League Stats,Dan Clark,BRK,2,17.3,2,1,3,.333,0,1,.000,0,0,.000,0,3,3,0,2,0,1,3
2014-2015 NBA Orlando Pro Summer League Stats,Justin Cobbs,MEM,2,11.7,2,1,5,.200,0,1,.000,0,0,.000,0,0,0,1,1,0,1,0
2014-2015 NBA Orlando Pro Summer League Stats,Alen Omic,BRK,1,10.1,2,0,1,.000,0,0,.000,2,2,1.000,0,1,1,0,0,0,0,4
2014-2015 NBA Orlando Pro Summer League Stats,Lasan Kromah,BRK,1,6.6,2,1,3,.333,0,1,.000,0,0,.000,1,0,1,0,0,0,2,1
2014-2015 NBA Orlando Pro Summer League Stats,Nobel Boungou Colo,MIA,1,7.1,1,0,1,.000,0,0,.000,1,2,.500,1,0,1,1,0,0,1,0
2014-2015 NBA Orlando Pro Summer League Stats,Luke Hancock,ORL,1,3.8,0,0,0,.000,0,0,.000,0,0,.000,0,1,1,2,0,0,0,0
2014-2015 NBA Orlando Pro Summer League Stats,Devin Oliver,BOS,4,18.1,0,0,4,.000,0,2,.000,0,0,.000,3,4,7,0,4,0,2,5
2014-2015 NBA Orlando Pro Summer League Stats,Arsalan Kazemi,PHI,2,11.9,0,0,1,.000,0,0,.000,0,0,.000,2,1,3,0,0,0,0,3
2014-2015 NBA Orlando Pro Summer League Stats,Scott Suggs,ORL,2,5.4,0,0,1,.000,0,0,.000,0,0,.000,0,2,2,0,0,0,1,0
2014-2015 NBA Orlando Pro Summer League Stats,Markel Starks,DET,1,12.2,0,0,4,.000,0,1,.000,0,0,.000,0,0,0,2,0,0,2,1
2014-2015 NBA Orlando Pro Summer League Stats,Janis Timma,MEM,2,17.6,0,0,5,.000,0,2,.000,0,0,.000,1,3,4,1,1,0,4,3
2015-2016 NBA Orlando Pro Summer League Stats,Joe Young,IND,4,119.3,90,33,65,.508,9,20,.450,15,19,.789,2,8,10,13,2,0,11,7
2015-2016 NBA Orlando Pro Summer League Stats,Stanley Johnson,DET,5,137.3,81,30,52,.577,5,12,.417,16,27,.593,9,25,34,10,9,5,9,18
2015-2016 NBA Orlando Pro Summer League Stats,Keith Appling,ORL,5,131.3,78,22,44,.500,2,5,.400,32,37,.865,1,5,6,15,15,1,10,27
2015-2016 NBA Orlando Pro Summer League Stats,Semaj Christon,OKC,5,155.7,78,27,80,.338,1,8,.125,23,30,.767,4,12,16,34,6,4,21,15
2015-2016 NBA Orlando Pro Summer League Stats,Frank Kaminsky,CHA,5,162.6,76,28,64,.438,7,18,.389,13,17,.765,6,33,39,4,3,5,7,12
2015-2016 NBA Orlando Pro Summer League Stats,Russ Smith,MEM,5,146.4,74,26,52,.500,4,12,.333,18,22,.818,1,11,12,31,16,1,13,14
2015-2016 NBA Orlando Pro Summer League Stats,Ryan Boatright,BRK,5,125.7,70,20,54,.370,11,28,.393,19,22,.864,4,12,16,13,5,1,9,12
2015-2016 NBA Orlando Pro Summer League Stats,C.J. Wilcox,LAC,5,159.9,70,23,67,.343,8,25,.320,16,16,1.000,0,16,16,8,7,3,8,10
2015-2016 NBA Orlando Pro Summer League Stats,Aaron Harrison,CHA,5,145.0,67,24,57,.421,5,21,.238,14,21,.667,2,22,24,17,7,3,9,11
2015-2016 NBA Orlando Pro Summer League Stats,Aaron Gordon,ORL,3,97.9,65,24,48,.500,6,12,.500,11,21,.524,8,27,35,8,4,5,11,9
2015-2016 NBA Orlando Pro Summer League Stats,Keith Benson,ORL,5,116.9,64,24,52,.462,0,0,.000,16,19,.842,14,17,31,2,0,12,4,10
2015-2016 NBA Orlando Pro Summer League Stats,Jordan Adams,MEM,4,129.8,64,18,53,.340,2,11,.182,26,29,.897,7,12,19,4,9,1,6,11
2015-2016 NBA Orlando Pro Summer League Stats,P.J. Hairston,CHA,5,145.7,61,19,57,.333,10,34,.294,13,16,.813,2,24,26,10,5,0,15,11
2015-2016 NBA Orlando Pro Summer League Stats,Jarnell Stokes,MEM,5,140.2,60,21,38,.553,0,0,.000,18,25,.720,14,19,33,6,3,2,12,10
2015-2016 NBA Orlando Pro Summer League Stats,Myles Turner,IND,3,87.4,56,23,38,.605,2,3,.667,8,10,.800,9,16,25,0,2,13,3,14
2015-2016 NBA Orlando Pro Summer League Stats,Devyn Marble,ORL,5,133.0,55,18,51,.353,13,34,.382,6,10,.600,0,17,17,12,13,0,7,9
2015-2016 NBA Orlando Pro Summer League Stats,Josh Richardson,MIA,5,128.1,55,16,42,.381,5,10,.500,18,21,.857,4,9,13,5,8,5,8,20
2015-2016 NBA Orlando Pro Summer League Stats,Willie Reed,MIA,4,103.1,54,21,35,.600,0,0,.000,12,21,.571,13,18,31,2,1,7,4,10
