League,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
2006-2007 NBA NBA Summer League Stats,Kevin Martin,SAC,4,123.0,91,18,48,.375,6,16,.375,49,63,.778,7,19,26,7,1,0,18,15
2006-2007 NBA NBA Summer League Stats,Casey Jacobsen,DEN,5,106.0,82,27,50,.540,8,21,.381,20,24,.833,7,14,21,9,1,0,8,11
2006-2007 NBA NBA Summer League Stats,Kelenna Azubuike,DEN,5,98.0,82,22,38,.579,3,8,.375,35,52,.673,6,13,19,1,6,2,5,12
2006-2007 NBA NBA Summer League Stats,Bracey Wright,MIN,5,160.0,82,21,58,.362,5,15,.333,35,40,.875,3,12,15,12,9,0,13,14
2006-2007 NBA NBA Summer League Stats,Pat Carroll,HOU,5,171.0,82,35,75,.467,6,22,.273,6,8,.750,2,10,12,13,2,0,9,17
2006-2007 NBA NBA Summer League Stats,Rawle Marshall,DAL,5,148.0,82,19,51,.373,1,3,.333,38,51,.745,0,11,11,5,3,2,19,19
2006-2007 NBA NBA Summer League Stats,Steve Novak,HOU,5,161.0,80,26,61,.426,15,35,.429,13,14,.929,2,20,22,4,1,1,6,25
2006-2007 NBA NBA Summer League Stats,Andray Blatche,WAS,5,164.0,80,29,64,.453,5,13,.385,17,25,.680,15,16,31,6,6,8,27,29
2006-2007 NBA NBA Summer League Stats,James Singleton,LAC,5,174.0,77,25,52,.481,5,12,.417,22,29,.759,24,42,66,11,4,13,15,18
2006-2007 NBA NBA Summer League Stats,Ryan Gomes,BOS,5,116.0,77,27,45,.600,0,1,.000,23,27,.852,4,19,23,4,3,3,5,20
2006-2007 NBA NBA Summer League Stats,David Lee,NYK,5,144.0,76,30,50,.600,0,1,.000,16,27,.593,17,30,47,7,8,1,8,27
2006-2007 NBA NBA Summer League Stats,Ronnie Price,SAC,5,138.0,76,26,56,.464,6,18,.333,14,22,.636,6,8,14,12,8,1,15,24
2006-2007 NBA NBA Summer League Stats,Martell Webster,POR,5,156.0,76,26,64,.406,11,27,.407,13,19,.684,0,15,15,5,5,2,10,16
2006-2007 NBA NBA Summer League Stats,Daniel Ewing,LAC,5,158.0,72,26,58,.448,7,14,.500,13,17,.765,2,14,16,20,8,2,15,17
2006-2007 NBA NBA Summer League Stats,Allan Ray,BOS,5,126.0,72,29,56,.518,4,11,.364,10,12,.833,4,7,11,10,5,1,9,12
2006-2007 NBA NBA Summer League Stats,Shannon Brown,CLE,5,152.0,70,27,54,.500,1,6,.167,14,19,.737,0,12,12,12,5,3,10,19
2006-2007 NBA NBA Summer League Stats,Jason Maxiell,DET,5,154.0,70,23,54,.426,0,0,.000,24,54,.444,12,11,23,4,4,4,10,20
2006-2007 NBA NBA Summer League Stats,Joey Graham,TOR,5,137.0,69,19,47,.404,1,4,.250,30,32,.938,4,13,17,4,6,0,14,23
2006-2007 NBA NBA Summer League Stats,Andrea Bargnani,TOR,5,131.0,66,21,45,.467,6,17,.353,18,21,.857,2,17,19,3,2,5,18,31
2006-2007 NBA NBA Summer League Stats,Travis Outlaw,POR,5,150.0,64,22,55,.400,2,13,.154,18,23,.783,3,22,25,3,5,2,10,19
2006-2007 NBA NBA Summer League Stats,Oleksiy Pecherov,WAS,5,143.0,63,24,52,.462,3,13,.231,12,13,.923,12,26,38,4,4,2,4,15
2006-2007 NBA NBA Summer League Stats,Ruben Douglas,PHX,5,113.0,63,24,62,.387,6,23,.261,9,16,.563,3,12,15,13,5,2,6,8
2006-2007 NBA NBA Summer League Stats,Sharrod Ford,CLE,5,127.0,62,21,37,.568,1,3,.333,19,30,.633,15,23,38,2,3,7,15,23
2006-2007 NBA NBA Summer League Stats,Amar'e Stoudemire,PHX,3,89.0,62,20,35,.571,0,0,.000,22,26,.846,2,16,18,4,3,5,14,24
2006-2007 NBA NBA Summer League Stats,Nate Robinson,NYK,5,117.0,61,17,46,.370,5,16,.313,22,32,.688,7,9,16,23,5,0,8,10
2006-2007 NBA NBA Summer League Stats,Kris Humphries,TOR,5,129.0,61,20,53,.377,0,1,.000,21,34,.618,16,26,42,3,5,3,9,24
2006-2007 NBA NBA Summer League Stats,John Gilchrist,DEN,5,103.0,60,21,36,.583,2,7,.286,16,17,.941,4,14,18,22,6,0,10,19
2006-2007 NBA NBA Summer League Stats,Maurice Ager,DAL,3,92.0,60,20,45,.444,8,17,.471,12,15,.800,0,2,2,3,0,0,11,11
2006-2007 NBA NBA Summer League Stats,LaMarcus Aldridge,POR,5,165.0,59,23,48,.479,0,1,.000,13,15,.867,13,22,35,11,5,9,4,31
2006-2007 NBA NBA Summer League Stats,Yakhouba Diawara,DEN,5,115.0,59,21,38,.553,3,10,.300,14,22,.636,7,8,15,9,3,0,10,22
2006-2007 NBA NBA Summer League Stats,Pavel Podkolzin,DAL,5,108.0,58,17,28,.607,0,0,.000,24,33,.727,13,23,36,2,3,2,19,24
2006-2007 NBA NBA Summer League Stats,Will Bynum,GSW,5,123.0,57,19,38,.500,1,4,.250,18,24,.750,2,16,18,16,11,0,11,16
2006-2007 NBA NBA Summer League Stats,Sebastian Telfair,BOS,4,129.0,57,14,35,.400,6,17,.353,23,28,.821,0,9,9,21,3,0,15,21
2006-2007 NBA NBA Summer League Stats,Donell Taylor,WAS,5,155.0,56,18,60,.300,1,8,.125,19,24,.792,4,15,19,13,4,1,18,25
2006-2007 NBA NBA Summer League Stats,Yaroslav Korolev,LAC,5,164.0,54,13,37,.351,3,12,.250,25,33,.758,4,20,24,3,7,3,18,13
2006-2007 NBA NBA Summer League Stats,Steven Smith,GSW,4,101.0,54,19,49,.388,0,3,.000,16,19,.842,9,10,19,2,2,0,6,11
2006-2007 NBA NBA Summer League Stats,Quincy Douby,SAC,4,103.0,53,17,39,.436,6,15,.400,13,17,.765,2,9,11,12,4,1,5,15
2006-2007 NBA NBA Summer League Stats,Rajon Rondo,BOS,5,161.0,52,22,39,.564,1,2,.500,7,10,.700,6,14,20,29,11,2,9,30
2006-2007 NBA NBA Summer League Stats,Lou Amundson,SAC,5,122.0,52,20,29,.690,0,0,.000,12,26,.462,15,24,39,2,4,7,13,32
2006-2007 NBA NBA Summer League Stats,Maciej Lampe,PHX,5,91.0,51,19,29,.655,3,3,1.000,10,13,.769,8,16,24,5,2,1,2,18
2006-2007 NBA NBA Summer League Stats,Marcus Fizer,NOP,5,90.0,51,18,43,.419,0,5,.000,15,22,.682,7,16,23,4,4,0,11,13
2006-2007 NBA NBA Summer League Stats,Boniface Ndong,LAC,5,149.0,49,19,47,.404,0,2,.000,11,17,.647,13,21,34,8,3,3,10,23
2006-2007 NBA NBA Summer League Stats,Amir Johnson,DET,5,135.0,49,20,38,.526,0,2,.000,9,17,.529,17,19,36,2,2,5,12,36
2006-2007 NBA NBA Summer League Stats,Brandon Hunter,CLE,5,148.0,48,12,23,.522,0,0,.000,24,42,.571,14,32,46,7,0,9,15,30
2006-2007 NBA NBA Summer League Stats,Stephen Graham,CLE,5,122.0,48,18,39,.462,5,11,.455,10,16,.625,3,13,16,9,6,0,13,19
2006-2007 NBA NBA Summer League Stats,Patrick O'Bryant,GSW,5,113.0,48,18,40,.450,0,0,.000,12,13,.923,9,12,21,0,1,7,15,38
2006-2007 NBA NBA Summer League Stats,Al Jefferson,BOS,5,101.0,47,18,36,.500,0,0,.000,11,21,.524,15,22,37,5,3,4,7,27
2006-2007 NBA NBA Summer League Stats,Lionel Chalmers,PHX,5,122.0,45,16,33,.485,3,5,.600,10,15,.667,7,7,14,17,3,0,10,16
2006-2007 NBA NBA Summer League Stats,Josh Davis,DEN,5,94.0,45,17,37,.459,7,18,.389,3,5,.600,5,14,19,1,4,1,4,10
2006-2007 NBA NBA Summer League Stats,Adam Hess,PHX,5,91.0,44,16,25,.640,4,8,.500,8,8,1.000,5,8,13,5,2,0,4,14
2006-2007 NBA NBA Summer League Stats,Pops Mensah-Bonsu,DAL,5,112.0,44,14,30,.467,0,0,.000,16,31,.516,11,16,27,2,2,6,12,19
2006-2007 NBA NBA Summer League Stats,Tyrone Ellis,MIN,5,123.0,44,13,27,.481,4,8,.500,14,18,.778,7,9,16,4,5,1,7,25
2006-2007 NBA NBA Summer League Stats,Sasha Pavlovic,CLE,4,101.0,44,14,46,.304,4,13,.308,12,20,.600,1,11,12,5,3,0,6,14
