League,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2006-2007 NBA NBA Summer League Stats,Brian Greene,NYK,5,13.8,6.4,2.4,5.2,.462,0.2,1.0,.200,1.4,1.4,1.000,0.0,2.0,2.0,0.4,0.4,0.0,1.2,2.8
2006-2007 NBA NBA Summer League Stats,Cedric Simmons,NOP,5,22.8,6.2,2.0,5.4,.370,0.0,0.0,.000,2.2,3.2,.688,2.8,4.2,7.0,0.4,1.2,0.8,2.6,4.4
2006-2007 NBA NBA Summer League Stats,Scooter McFadgon,WAS,5,12.8,6.2,2.0,4.8,.417,0.2,1.0,.200,2.0,2.2,.909,0.2,1.2,1.4,0.2,0.0,0.0,0.2,1.6
2006-2007 NBA NBA Summer League Stats,Ime Udoka,NYK,5,18.8,6.2,1.8,5.8,.310,0.0,0.6,.000,2.6,3.2,.813,1.0,1.6,2.6,1.4,0.4,0.2,2.0,3.2
2006-2007 NBA NBA Summer League Stats,Cheyne Gadson,DEN,5,19.6,6.0,2.4,5.8,.414,0.0,0.8,.000,1.2,2.0,.600,0.2,2.4,2.6,4.0,1.6,0.0,1.8,2.8
2006-2007 NBA NBA Summer League Stats,Josh Powell,DAL,4,27.3,6.0,2.0,4.8,.421,0.0,0.0,.000,2.0,2.8,.727,1.0,5.8,6.8,1.3,0.3,0.0,1.0,4.3
2006-2007 NBA NBA Summer League Stats,Martynas Andriuskevicius,CLE,4,16.5,6.0,2.3,3.8,.600,0.5,0.8,.667,1.0,1.8,.571,1.5,1.8,3.3,0.0,0.8,0.5,0.3,3.8
2006-2007 NBA NBA Summer League Stats,Sean Banks,GSW,4,15.5,6.0,1.5,5.0,.300,0.0,1.8,.000,3.0,4.0,.750,0.3,0.5,0.8,0.3,0.3,0.0,1.0,2.8
2006-2007 NBA NBA Summer League Stats,William Avery,TOR,5,22.4,5.8,1.8,5.4,.333,0.6,1.8,.333,1.6,1.8,.889,0.6,1.0,1.6,1.2,0.4,0.2,2.6,4.0
2006-2007 NBA NBA Summer League Stats,J.P. Batista,MIN,5,17.8,5.6,2.0,4.4,.455,0.0,0.0,.000,1.6,2.0,.800,1.8,2.6,4.4,0.8,0.8,0.2,2.0,3.8
2006-2007 NBA NBA Summer League Stats,Kevinn Pinkney,POR,4,16.0,5.5,2.5,4.0,.625,0.0,0.0,.000,0.5,0.5,1.000,1.5,1.5,3.0,2.8,0.0,0.3,0.8,3.5
